codigo,nombre,descripcion,marca,cantidad,precio_compra,precio_venta,categoria,subcategoria,ubicacion,proveedor,stock_minimo,unidad_medida
PLO005,Cinta teflón 1/2" x 10m,Cinta sellante para roscas,Surtek,50,0.80,1.50,Plomería,Sellantes,E-05,Tuberías Hidráulicas,20,rollo
FER001,Cadena galvanizada 1/4",Cadena eslabón corto galvanizada,Nacional,100,2.40,4.20,Ferretería,Cadenas,F-01,Metales y Cadenas,15,metro
FER002,Candado 40mm latón,Candado de seguridad con 2 llaves,Master Lock,30,6.80,12.50,Ferretería,Candados,F-02,Seguridad Total,10,unidad
FER003,Bisagra 3" acero,Bisagra para puerta con pernos,Nacional,25,2.90,5.40,Ferretería,Bisagras,F-03,Herrajes Modernos,8,par
FER004,Alambre galvanizado #18,Alambre galvanizado calibre 18,Deacero,5,12.50,22.80,Ferretería,Alambre,F-04,Metales Unidos,2,kilo
FER005,Clavos 3" cabeza grande,Clavos de acero para construcción,Clavos SA,15,8.90,15.60,Ferretería,Clavos,F-05,Clavos y Fijaciones,5,kilo
CON001,Cemento gris 50kg,Cemento Portland tipo I,Cruz Azul,80,6.20,9.80,Construcción,Cemento,G-01,Materiales de Construcción,20,saco
CON002,Arena fina,Arena cernida para construcción,Local,15,8.00,14.50,Construcción,Agregados,G-02,Agregados del Valle,5,metro cúbico
CON003,Grava 3/4",Grava para concreto,Local,12,15.00,25.80,Construcción,Agregados,G-03,Agregados del Valle,3,metro cúbico
CON004,Block 15x20x40,Block de concreto hueco,Bloques Unidos,200,1.80,2.95,Construcción,Block,G-04,Bloques y Tabiques,50,pieza
CON005,Varilla 3/8" x 12m,Varilla corrugada grado 42,Deacero,45,18.50,32.40,Construcción,Varilla,G-05,Aceros de Construcción,15,pieza
JAR001,Pala recta mango largo,Pala para jardinería con mango de madera,Truper,12,15.80,26.90,Jardinería,Palas,H-01,Herramientas Jardín,5,unidad
JAR002,Rastrillo 14 dientes,Rastrillo metálico para jardín,Truper,8,12.40,21.50,Jardinería,Rastrillos,H-02,Herramientas Jardín,3,unidad
JAR003,Manguera 1/2" x 15m,Manguera reforzada para jardín,Plastigoma,20,18.90,32.60,Jardinería,Mangueras,H-03,Riego Técnico,8,pieza
JAR004,Fertilizante NPK 1kg,Fertilizante complejo 15-15-15,Fertimex,35,4.50,8.20,Jardinería,Fertilizantes,H-04,Agro Suministros,12,kilo
JAR005,Maceta barro 20cm,Maceta de barro natural,Artesanías,45,2.80,5.50,Jardinería,Macetas,H-05,Vivero Central,15,unidad
SEG001,Casco de seguridad blanco,Casco industrial con barbiquejo,3M,15,8.90,16.80,Seguridad,Protección Cabeza,I-01,Equipos de Seguridad,6,unidad
SEG002,Guantes de carnaza,Guantes reforzados para trabajo,Ansell,25,3.40,6.90,Seguridad,Protección Manos,I-02,Equipos de Seguridad,10,par
SEG003,Lentes de seguridad,Lentes policarbonato anti-empañe,Uvex,20,4.60,8.50,Seguridad,Protección Visual,I-03,Equipos de Seguridad,8,unidad
SEG004,Chaleco reflectante,Chaleco alta visibilidad naranja,Safety First,18,6.80,12.90,Seguridad,Ropa Seguridad,I-04,Equipos de Seguridad,6,unidad
SEG005,Extintor PQS 4.5kg,Extintor polvo químico seco,Amerex,6,32.50,58.90,Seguridad,Extintores,I-05,Sistemas Contra Incendio,2,unidad
